48,2826,4
69,2826,5
81,2826,4
5,2829,4
9,2829,4
50,2829,4
54,2829,5
55,2829,5
5,2840,4
11,2840,4
20,2840,5
53,2840,5
55,2840,4
66,2840,5
69,2840,5
79,2840,5
5,2850,5
8,2850,5
11,2850,5
14,2850,5
21,2850,5
5,2860,4
11,2860,5
14,2860,3
24,2860,4
26,2860,4
5,2861,5
27,2861,5
33,2861,3
35,2861,4
63,2861,4
66,2861,5
72,2861,4
81,2861,3
5,2863,4
11,2863,5
14,2863,4
20,2863,4
72,2863,5
5,2879,5
9,2879,5
26,2879,5
27,2879,5
37,2879,5
55,2879,2
58,2879,5
81,2879,3
5,2885,5
13,2885,5
37,2885,5
50,2885,5
53,2885,5
5,2896,4
11,2896,4
19,2896,4
27,2896,4
53,2896,5
54,2896,5
5,2914,5
8,2914,5
40,2914,5
52,2914,5
58,2914,5
5,2917,2
9,2917,2
14,2917,4
16,2917,3
19,2917,3
32,2917,4
58,2917,3
59,2917,3
69,2917,5
78,2917,2
5,2922,3
14,2922,2
26,2922,3
40,2922,4
66,2922,3
81,2922,2
5,2936,5
8,2936,4
14,2936,5
20,2936,5
78,2936,5
5,3007,5
20,3007,5
24,3007,4
35,3007,5
43,3007,5
5,3020,4
7,3020,4
9,3020,3
14,3020,3
37,3020,4
40,3020,3
5,3035,4
7,3035,4
20,3035,5
21,3035,5
24,3035,5
32,3035,4
35,3035,4
39,3035,4
5,3058,5
24,3058,5
32,3058,5
43,3058,5
48,3058,4
50,3058,4
5,3070,5
19,3070,4
34,3070,4
50,3070,3
55,3070,5
69,3070,4
5,3089,5
8,3089,5
13,3089,3
14,3089,5
17,3089,3
19,3089,3
32,3089,5
