0,1,2,3,4,5
속초등대,4.3,705,동해 전망의 절벽 위 등대,관광 명소,강원도 속초시 영랑동 영금정로5길 8-28
안반데기,4.4,332,,관광 명소,강원도 강릉시 왕산면 안반덕길 428
삼척해변역,4.2,257,경치 좋은 해안 철도 정차역,관광 명소,강원도 삼척시 갈천동 수로부인길 542
간현관광지(소금산그랜드밸리),4.2,5268,야영,관광 명소,강원도 원주시 지정면 소금산길 12
비룡폭포,4.5,206,폭포 & 유명한 하이킹 코스,관광 명소,강원도 속초시 설악동 설악산로
법주사,4.4,3239,553년 승려가 창건한 절,불교사찰,충청북도 보은군 속리산면 법주사로 405
속리산국립공원,4.5,1058,사찰이 있는 외딴 산악 지역,국립공원,충청북도 보은군 속리산면 법주사로 84
대한불교천태종 구인사,4.2,1883,"사원, 불교, 건축 및 단풍",불교사찰,충청북도 단양군 영춘면 구인사길 73
도담삼봉,4.1,7775,강 한가운데에 우뚝 솟은 3개의 봉우리,관광 명소,충청북도 단양군 매포읍 삼봉로 644-13
만천하스카이워크,4.3,2162,유리 바닥으로 된 미래지향적 느낌의 전망대,전망대,충청북도 단양군 적성면 애곡리 5
고수동굴,4.2,4988,아름다운 자연 동굴 탐험,관광 명소,충청북도 단양군 단양읍 고수동굴길 8
청주고인쇄박물관,4.3,571,박물관,박물관,충청북도 청주시 흥덕구 직지대로 713
소백산국립공원,4.6,134,하이킹과 등산을 할 수 있는 드넓은 산악 지대,국립공원,충청북도 단양군 단양읍
국립현대미술관 청주,4.5,1050,"미술관, 예술 및 조각",현대미술관,충청북도 청주시 상당구 상당로 314
의림지,4.3,3840,"저수지, 역사 및 자연",공원,충청북도 제천시 모산동 241
수암골,4.0,753,,관광 명소,충청북도 청주시 상당구 수동 81-12
단양강 잔도길,4.3,1659,,관광 명소,충청북도 단양군 적성면 애곡리 산18-15
상당산성,4.5,2947,산성 옆 언덕 등산로,역사적 명소,충청북도 청주시 상당구 산성동 산28-2
하선암,4.2,154,야영,관광 명소,충청북도 단양군 단성면 대잠리 295
국립청주박물관,4.4,1245,현지 역사와 문화 전시,국립박물관,충청북도 청주시 상당구 명암로 143
중앙탑사적공원,4.5,2181,공원,공원,충청북도 충주시 가금면 탑정안길 6
수양개빛터널,4.0,1851,,관광 명소,충청북도 단양군 적성면 수양개유적로 390
단양 다누리아쿠아리움,4.4,2096,수족관,수족관,충청북도 단양군 단양읍 별곡리 568
청풍호반 케이블카 물태리역,4.5,5252,,산악 케이블카,충청북도 제천시 청풍면 문화재길 166
화양구곡 (華陽九谷),4.3,470,야영,명승지,충청북도 괴산군 청천면 화양동길 202
청풍랜드,4.1,1487,번지 점프,관광 명소,충청북도 제천시 청풍면 교리
미동산수목원,4.5,1032,과학관,수목원,충청북도 청원군 미원면 수목원길 51
청풍문화재단지,4.2,1711,복원한 수몰 지역,관광 명소,충청북도 제천시 청풍면 청풍호로 2048
충주 탑평리 칠층석탑,4.6,324,공원,탑,충청북도 충주시 가금면 탑평리 11
활옥동굴,4.2,2569,,관광 명소,충청북도 충주시 목벌안길 26
온달관광지,4.0,1615,드라마,관광 명소,충청북도 단양군 영춘면 하리
사인암(舍人巖),4.3,2243,,관광 명소,충청북도 단양군 대강면 사인암2길 42
청주동물원,4.1,841,동물원 및 호랑이,동물원,"28311, 224 명암로 상당구 청주시 충청북도"
청주시립미술관,4.3,205,미술관 및 예술,미술관,충청북도 청주시 흥덕구 사직2동 충렬로18번길 50
진천농교,4.3,2467,,역사적 장소,충청북도 진천군 문백면 구곡리 601-32
옥순봉 출렁다리,4.2,443,,다리,충청북도 제천시 수산면 괴곡리 산106-1
온달동굴,4.3,234,"동굴, 자연 및 석순",자연보호구역,충청북도 단양군 영춘면 온달로 23
충주호유람선,4.0,2520,,관광 명소,충청북도 단양군 단성면 월악로 3811-19
충주 탄금대(彈琴臺),4.2,1520,공원 및 역사,공원,충청북도 충주시 칠금동 탄금대안길 31
단양구경시장,4.0,7114,,시장,충청북도 단양군 단양읍 도전리
무심천체육공원,4.5,159,공원,공원,충청북도 청주시 서원구 사직동 78-2
영동와인터널,4.2,500,포도주,관광 명소,충청북도 영동군 힐링로 30
좌구산 휴양랜드 좌구산자연휴양림,4.4,632,야영,테마파크,충청북도 증평군 증평읍 솟점말길 107
금수산,4.3,101,나무가 울창하게 우거진 산,산봉우리,제천시
비로봉,4.6,134,등산 및 산,국립공원,충청북도 단양군 가곡면 어의곡리 산59-4
삼년산성,4.3,121,성 및 역사,역사적 명소,충청북도 보은군 보은읍 어암리 산1-1
덕주사,4.2,465,사원,불교사찰,충청북도 제천시 한수면 송계리
덕동계곡,4.2,218,야영,관광 명소,충청북도 제천시 백운면 덕동리
중선암,4.1,182,,역사적 장소,충청북도 단양군 단성면 가산리 705
청풍호 관광 모노레일,4.6,120,,자연보호구역,충청북도 제천시 청풍면 신리
옥화자연휴양림,4.3,264,야영,휴양림,충청북도 청주시 상당구 미원면 운암옥화길 140
능강계곡,4.1,582,,관광 명소,충청북도 제천시 수산면 능강리
